"title","price","discount","developer","publisher","release_date","valoration","reviews","stock","descarga","f2p","initial_price","DLC","genre1","genre2","multiplayer","indie","year","month","day"
"Sniper Elite III Season Pass",3.6,88,"Rebellion","Rebellion","2014-06-27",7,4,1,"Descarga digital",0,30,TRUE,"Acción","Aventura",FALSE,FALSE,2014,6,27
"Persona 4 Golden - Europe",16.24,19,"ATLUS","SEGA","2020-06-13",10,15,1,"Descarga digital",0,20.0493827160494,FALSE,"RPG","RPG",FALSE,FALSE,2020,6,13
"Sword Art Online: Alicization Lycoris Deluxe Edition",12.33,86,"AQURIA Co., Ltd.","BANDAI NAMCO Entertainment","2020-07-10",9,19,1,"Descarga digital",0,88.0714285714286,FALSE,"Acción","Aventura",FALSE,FALSE,2020,7,10
"Naruto Shippuden: Ultimate Ninja Storm 2",3.63,82,"CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment","2017-08-25",9,1,1,"Descarga digital",0,20.1666666666667,FALSE,"Acción","Aventura",FALSE,FALSE,2017,8,25
"SpellForce 3: Soul Harvest",3.69,82,"Grimlore Games","THQ Nordic","2019-05-28",7,2,1,"Descarga digital",0,20.5,FALSE,"RPG","Estrategia",FALSE,FALSE,2019,5,28
"The Legend of Heroes: Trails in the Sky",5.54,65,"Nihon Falcom","Marvelous USA, Inc.","2014-07-29",10,3,1,"Descarga digital",0,15.8285714285714,FALSE,"RPG","RPG",FALSE,FALSE,2014,7,29
"Pathway",1.29,91,"Robotality","Chucklefish","2019-04-11",10,2,1,"Descarga digital",0,14.3333333333333,FALSE,"Aventura","RPG",FALSE,TRUE,2019,4,11
"Dead by Daylight: A Nightmare on Elm Street",6.31,10,"Behaviour Digital Inc.","Behaviour Digital Inc.","2017-10-26",10,3,1,"Descarga digital",0,7.01111111111111,TRUE,"Acción","Acción",TRUE,FALSE,2017,10,26
"Total War: ATTILA: Celts Culture Pack",1.58,82,"CREATIVE ASSEMBLY","SEGA","2015-03-25",6,0,1,"Descarga digital",0,8.77777777777778,TRUE,"Estrategia","Estrategia",FALSE,FALSE,2015,3,25
"F.E.A.R Platinum Edition",1.88,97,"Timegate","Warner Bros. Games","2005-10-17",10,5,0,"No",0,62.6666666666667,FALSE,"Acción","Acción",FALSE,FALSE,2005,10,17
"Imperator: Rome",2.85,93,"Paradox Development Studio","Paradox Interactive","2019-04-25",7,20,1,"Descarga digital",0,40.7142857142857,FALSE,"Simulación","Estrategia",FALSE,FALSE,2019,4,25
"Tennis World Tour",1.66,94,"Breakpoint","Nacon","2018-06-12",3,23,1,"Descarga digital",0,27.6666666666667,FALSE,"Deporte","Deporte",FALSE,FALSE,2018,6,12
"Dead Island: Riptide Complete Edition",4.26,79,"Techland","Deep Silver","2016-05-31",8,46,0,"No",0,20.2857142857143,FALSE,"Acción","Acción",FALSE,FALSE,2016,5,31
"Evil Genius 2: World Domination",8.12,80,"Rebellion","Rebellion","2021-03-30",8,13,1,"Descarga digital",0,40.6,FALSE,"Simulación","Estrategia",FALSE,FALSE,2021,3,30
"Warhammer 40.000: Dawn of War II Master Collection",4.45,92,"Feral Interactive (Mac/Linux)","Feral Interactive (Mac/Linux)","2009-02-19",9,20,1,"Descarga digital",0,55.625,FALSE,"Estrategia","Estrategia",FALSE,FALSE,2009,2,19
"Bastion",2.02,86,"Supergiant Games","Supergiant Games","2011-08-16",9,19,0,"No",0,14.4285714285714,FALSE,"Acción","RPG",FALSE,TRUE,2011,8,16
"Call of Duty 4: Modern Warfare",10.08,50,"Infinity Ward","Activision","2007-11-12",10,38,0,"No",0,20.16,FALSE,"Acción","Acción",FALSE,FALSE,2007,11,12
"Mount & Blade Full Collection",8.73,83,"TaleWorlds Entertainment","TaleWorlds Entertainment","2008-09-16",10,22,1,"Descarga digital",0,51.3529411764706,FALSE,"RPG","RPG",FALSE,TRUE,2008,9,16
"Cafe Owner Simulator",12.36,33,"Second Reality","RockGame S.A.","2022-12-05",6,5,1,"Descarga digital",0,18.4477611940299,FALSE,"Simulación","Simulación",FALSE,TRUE,2022,12,5
"One Piece: Burning Blood",5,90,"Spike Chunsoft Co., Ltd.","BANDAI NAMCO Entertainment","2016-09-02",9,22,1,"Descarga digital",0,50,FALSE,"Acción","Acción",FALSE,FALSE,2016,9,2
"Elex",4.42,85,"Piranha Bytes","THQ Nordic","2017-10-17",9,110,1,"Descarga digital",0,29.4666666666667,FALSE,"Acción","Aventura",FALSE,FALSE,2017,10,17
"Mordheim: City of the Damned",1,95,"Rogue Factor","Nacon","2015-11-19",7,7,1,"Descarga digital",0,20,FALSE,"RPG","Estrategia",FALSE,FALSE,2015,11,19
"Serious Sam 3: BFE - Europe",4.03,86,"Croteam","Devolver Digital","2011-11-22",9,7,1,"Descarga digital",0,28.7857142857143,FALSE,"Acción","Acción",FALSE,TRUE,2011,11,22
"Surviving Mars: In-Dome Buildings Pack",2.9,42,"Abstraction","Paradox Interactive","2021-03-15",9,1,1,"Descarga digital",0,5,TRUE,"Simulación","Estrategia",FALSE,FALSE,2021,3,15
"Neighbours back From Hell",3.82,75,"Farbworks","HandyGames","2020-10-08",10,3,0,"No",0,15.28,FALSE,"Aventura","Estrategia",FALSE,FALSE,2020,10,8
"Crown Trick",1.33,93,"NEXT Studios","NEXT Studios","2020-10-16",10,0,1,"Descarga digital",0,19,FALSE,"Aventura","RPG",FALSE,TRUE,2020,10,16
"Total War: Three Kingdoms- The Furious Wild - Europe",7.9,58,"Feral Interactive (Linux)","Feral Interactive (Linux)","2020-09-03",10,0,1,"Descarga digital",0,18.8095238095238,TRUE,"Acción","Estrategia",FALSE,FALSE,2020,9,3
"PGA Tour 2K21 - Europe",3.66,94,"HB Studios Multimedia Ltd.","2K","2020-08-21",7,4,1,"Descarga digital",0,61,FALSE,"Simulación","Deporte",FALSE,FALSE,2020,8,21
"XCOM: Chimera Squad - Europe",2.57,87,"Firaxis Games","2K","2020-04-24",7,13,1,"Descarga digital",0,19.7692307692308,FALSE,"Estrategia","Estrategia",FALSE,FALSE,2020,4,24
"Moving Out",6.3,73,"Devm Games","Team17","2020-04-28",8,6,1,"Descarga digital",0,23.3333333333333,FALSE,"Acción","Simulación",FALSE,TRUE,2020,4,28
"Visage",8.86,70,"SadSquare Studio","SadSquare Studio","2020-10-30",9,16,0,"No",0,29.5333333333333,FALSE,"Acción","Aventura",FALSE,TRUE,2020,10,30
"Florence",1.72,69,"Mountains","Annapurna Interactive","2020-02-13",7,1,1,"Descarga digital",0,5.54838709677419,FALSE,"Aventura","Aventura",FALSE,TRUE,2020,2,13
"Boneworks",22.86,21,"Stress Level Zero","Stress Level Zero","2019-12-10",10,4,1,"Descarga digital",0,28.9367088607595,FALSE,"Acción","Aventura",FALSE,TRUE,2019,12,10
"Snowtopia: Ski Resort Tycoon",6.56,69,"TeaForTwo","Maple Whispering Limited","2022-12-14",9,2,1,"Descarga digital",0,21.1612903225806,FALSE,"Simulación","Estrategia",FALSE,TRUE,2022,12,14
"Sunset Overdrive",4.9,75,"Blind Squirrel Games","Xbox Game Studios","2018-11-16",8,10,1,"Descarga digital",0,19.6,FALSE,"Acción","Aventura",FALSE,FALSE,2018,11,16
"Conan Exiles - The Riddle of Steel",3.34,52,"Funcom","Funcom","2019-05-09",7,0,1,"Descarga digital",0,6.95833333333333,TRUE,"Acción","Aventura",FALSE,FALSE,2019,5,9
